Location Name,Full Address,City,Lat,Lon
"מקלט אדירים ליד בית העם, אדירים","אדירים ליד בית העם, אדירים",אדירים,32.548362535238276,35.27239427093214
"מקלט אדירים מערב הישוב, אדירים","אדירים מערב הישוב, אדירים",אדירים,32.548076282119744,35.26799706534203
"מקלט תל גיבורים סוף היישוב, אדירים","תל גיבורים סוף היישוב, אדירים",אדירים,32.54855412928141,35.2681358070058
"מקלט מרכז היישוב מגרש 311, אדמית","מרכז היישוב מגרש 311, אדמית",אדמית,33.079504928697055,35.210970934999345
מקלט 5 אדמית,"מרכז היישוב מגרש 95, אדמית",אדמית,33.079288495547466,35.211624229032616
מקלט 500 אדמית,"אדמית מגרש 315, אדמית",אדמית,33.07908118918193,35.21019978528542
מקלט 502 אדמית,"אדמית מגרש 317, אדמית",אדמית,33.078576156938546,35.212148956779224
מקלט 503 אדמית,"אדמית מגרש 316, אדמית",אדמית,33.079099253052306,35.2094929278899
מקלט 504 אדמית,"אדמית מגרש 319, אדמית",אדמית,33.07863939194415,35.20989987854186
מקלט 505 אדמית,"אדמית מגרש 316, אדמית",אדמית,33.07917137515137,35.20973926173748
מקלט 507 אדמית,"אדמית מגרש 10, אדמית",אדמית,33.07890983326034,35.2110351506013
מקלט 509 אדמית,"אדמית מגרש 320, אדמית",אדמית,33.07904519448067,35.20836837773561
מקלט 509 אדמית,"מרכז היישוב מגרש 313, אדמית",אדמית,33.07972140491314,35.209235922330805
"מקלט אדרת ליד בית כנסת חב""ד, אדרת","אדרת ליד בית כנסת חב""ד, אדרת",אדרת,31.660084633991538,34.99433898290569
"מקלט אדרת ליד בית כנסת משכן מסעוד, אדרת","אדרת ליד בית כנסת משכן מסעוד, אדרת",אדרת,31.66276189854561,34.993584320871705
"מקלט אדרת ליד גן אדרת_זית, אדרת","אדרת ליד גן אדרת_זית, אדרת",אדרת,31.660770180049724,34.9944217924851
"מקלט אדרת מול מועדון הותיקות, אדרת","אדרת מול מועדון הותיקות, אדרת",אדרת,31.660327630321262,34.99403266221658
"מקלט אדרת צפון הישוב, אדרת","אדרת צפון הישוב, אדרת",אדרת,31.66252858219741,34.994291307780436
מקלט 1 אדרת,"אדרת ליד גן שקד, אדרת",אדרת,31.660527753944,34.9950760628492
מקלט 2 אדרת,"אדרת ליד בית מגורים, אדרת",אדרת,31.66009640071367,34.996015437503466
"מקלט האורן מרכז היישוב, אודים","האורן מרכז היישוב, אודים",אודים,32.26507500359604,34.84628222023436
"מקלט הברוש סוף היישוב, אודים","הברוש סוף היישוב, אודים",אודים,32.262188667713616,34.84603884539278
"מקלט הדקל 50, אודים","הדקל 50, אודים",אודים,32.26785057882035,34.85203446738451
"מקלט היקינטון מרכז היישוב, אודים","היקינטון מרכז היישוב, אודים",אודים,32.26618611493291,34.84696772358276
"מקלט היקינטון מרכז היישוב, אודים","היקינטון מרכז היישוב, אודים",אודים,32.265987428698615,34.846862369237535
"מקלט אודם בדרום הישוב, אודם","אודם בדרום הישוב, אודם",אודם,33.19263100186967,35.75163660015426
"מקלט אודם במרכז הישוב, אודם","אודם במרכז הישוב, אודם",אודם,33.19449577590652,35.74994311227691
"מקלט אודם במרכז הישוב, אודם","אודם במרכז הישוב, אודם",אודם,33.1946783501968,35.74942950042787
"מקלט אודם במרכז הישוב, אודם","אודם במרכז הישוב, אודם",אודם,33.19494244137943,35.7488306000037
"מקלט אודם במרכז הישוב, אודם","אודם במרכז הישוב, אודם",אודם,33.195268188637044,35.748564518042016
